minx,miny,maxx,maxy
52.49256500000003,28.198877999999997,52.69256500000003,28.398877999999996
52.49256500000003,28.398877999999996,52.69256500000003,28.598877999999996
52.49256500000003,28.598877999999996,52.69256500000003,28.798877999999995
52.49256500000003,28.798877999999995,52.69256500000003,28.998877999999994
52.49256500000003,28.998877999999994,52.69256500000003,29.198877999999993
52.49256500000003,29.198877999999993,52.69256500000003,29.398877999999993
52.49256500000003,29.398877999999993,52.69256500000003,29.598877999999992
52.49256500000003,29.598877999999992,52.69256500000003,29.79887799999999
52.49256500000003,29.79887799999999,52.69256500000003,29.99887799999999
52.49256500000003,29.99887799999999,52.69256500000003,30.19887799999999
52.49256500000003,30.19887799999999,52.69256500000003,30.39887799999999
52.49256500000003,30.39887799999999,52.69256500000003,30.59887799999999
52.49256500000003,30.59887799999999,52.69256500000003,30.798877999999988
